Unnamed: 0,City,Country,Population (2024),Population (2023),Growth Rate,slug
204,Peshawar,Pakistan,2480546,2411785,0.0285,peshawar
205,Medan,Indonesia,2479070,2439054,0.0164,medan
206,Gujranwala,Pakistan,2479058,2415416,0.0263,gujranwala
207,Baku,Azerbaijan,2464162,2432304,0.0131,baku
208,Hohhot,China,2443686,2380636,0.0265,hohhot
209,San Juan,Puerto Rico,2436620,2439564,-0.0012,san-juan
210,Belem,Brazil,2432177,2409409,0.0094,belem
211,Rawalpindi,Pakistan,2430388,2377325,0.0223,rawalpindi
212,Agra,India,2422342,2367554,0.0231,agra
213,Manaus,Brazil,2406854,2375636,0.0131,manaus
214,Kannur,India,2405664,2346137,0.0254,kannur
215,Beirut,Lebanon,2402485,2421354,-0.0078,beirut
216,Maracaibo,Venezuela,2400826,2367626,0.014,maracaibo
217,Liuzhou,China,2397410,2343452,0.023,liuzhou
218,Visakhapatnam,India,2385110,2330928,0.0232,visakhapatnam
219,Baotou,China,2381242,2334878,0.0199,baotou
220,Vadodara,India,2373365,2324084,0.0212,vadodara
221,Barranquilla,Colombia,2373302,2349400,0.0102,barranquilla
222,Phnom Penh,Cambodia,2352680,2281198,0.0313,phnom-penh
223,Sendai,Japan,2341433,2342302,-0.0004,sendai
224,Taoyuan,Taiwan,2338724,2318850,0.0086,taoyuan
225,Xuzhou,China,2332531,2287166,0.0198,xuzhou
226,Aleppo,Syria,2317650,2203025,0.052,aleppo
227,Houston,United States,2305889,2304383,0.0007,houston
228,Tijuana,Mexico,2297216,2259787,0.0166,tijuana
229,Esfahan,Iran,2294589,2258396,0.016,esfahan
230,Nashik,India,2294299,2237369,0.0254,nashik
231,Vijayawada,India,2290785,2229765,0.0274,vijayawada
232,Amman,Jordan,2252688,2232240,0.0092,amman
233,Putian,China,2250104,2176022,0.034,putian
234,Multan,Pakistan,2205407,2154600,0.0236,multan
235,Grande Vitoria,Brazil,2196818,2170513,0.0121,grande-vitoria
236,Wuhu Anhui,China,2195262,2124797,0.0332,wuhu-anhui
237,Mecca,Saudi Arabia,2184560,2149928,0.0161,mecca
238,Kollam,India,2181940,2106606,0.0358,kollam
239,Naples,Italy,2180027,2179384,0.0003,naples
240,Daegu,South Korea,2179929,2180997,-0.0005,daegu
241,Conakry,Guinea,2178596,2110937,0.0321,conakry
242,Yangzhou,China,2175102,2131291,0.0206,yangzhou
243,Havana,Cuba,2152518,2148930,0.0017,havana
244,Taizhou Zhejiang,China,2152226,2102143,0.0238,taizhou-zhejiang
245,Baoding,China,2149703,2107539,0.02,baoding
246,Perth,Australia,2143491,2117997,0.012,perth
247,Brussels,Belgium,2132178,2121992,0.0048,brussels
248,Linyi Shandong,China,2120049,2076364,0.021,linyi-shandong
249,Bursa,Turkey,2115513,2086324,0.014,bursa
250,Rajkot,India,2096981,2043107,0.0264,rajkot
